"SampleID","Hill_q0","Hill_q1","Hill_q2","eventID","proportionshallow","distance.km.","NearestShelf_Longitude","NearestShelf_Latitude","ShelfMatch","rownames.d.","score","scorecn","scorecy","scorepfc","scoreth","scoretr","grav_NC","sediment","nutrient","pop_count","num_ports","reef_value","cumul_score"
"KIN_13C_BS",87,16.682523193363,8.53249943439121,"Ransome_KIN13_KIN13C_120501_150301",0.006825939,5760,152.8416854,-21.09999837,2,"Ransome_KIN13_KIN13C_120501_150301",-0.14215,-2.92092,0.76178,-1.96098,0.99261,0.83114,0.027888595,0.433481683,0,0,0,0,0.076895046
"KIN_5_BS",32,3.40872159629116,2.42081549866381,"Ransome_KIN05_KIN05C_120501_150301",0.006849315,5760,152.8416854,-21.09999837,2,"Ransome_KIN05_KIN05C_120501_150301",-0.09389,-1.54268,0.76178,-1.96303,0.98626,0.84215,0.027888595,0.434456378,0,0,0,0,0.077057496
"KOA_1A_BS",90,26.5655889995834,15.8700269772986,"Ransome_KOA01_KOA01A_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_KOA01_KOA01A_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"KOA_2A_BS",183,26.299905986446,10.4839496075171,"Ransome_KOA02_KOA02A_120312_150523",0.17114094,130,120.2416854,12.75000453,1,"Ransome_KOA02_KOA02A_120312_150523",0.03724,0.14474,-1.7242,-0.0168,0.97563,1.00573,0.986495851,0.865823157,0.924271737,0.977763939,0,0.988570591,0.790487546
"KUR_12_BS",93,17.7386448863342,9.16615004053279,"Ransome_KUR12_KUR12A_100101_130101",0.027355623,4210,137.5416854,37.40000664,1,"Ransome_KUR12_KUR12A_100101_130101",-0.18836,-2.12554,0.76178,-1.33061,-0.35867,-0.20784,0.06255736,0,0,0,0,0,0.010426227
"KUR_33_BS",100,12.281528179829,4.37080614797523,"Ransome_KUR33_KUR33A_100101_130101",0.027439024,4200,137.5416854,37.40000664,1,"Ransome_KUR33_KUR33A_100101_130101",-0.21129,-2.53774,0.76178,-1.34271,-0.44066,-0.25486,0.062388792,0,0,0,0,0,0.010398132
"LIS_10_BS",131,19.9385935179196,9.42937836365075,"Ransome_LIS10_LIS10B_100101_130101",0.1375,4720,137.5416854,37.40000664,1,"Ransome_LIS10_LIS10B_100101_130101",-0.11823,-1.80168,0.66585,-0.85946,-0.24579,0.7532,0.092937012,0,0,0,0,0,0.015489502
"LIS_14_BS",123,19.6047971268081,8.79638368683286,"Ransome_LIS14_LIS14B_100101_130101",0.130434783,4710,137.5416854,37.40000664,1,"Ransome_LIS14_LIS14B_100101_130101",-0.12027,-1.76908,0.66585,-0.88467,-0.24792,0.68901,0.092206552,0,0,0,0,0,0.015367759
"MAI_1_BS",187,15.80886781093,7.72722766172928,"Ransome_MAI01_MAI01B_100101_130101",0.058064516,6590,137.5416854,37.45000664,1,"Ransome_MAI01_MAI01B_100101_130101",0.0112,0.04653,0.76178,-1.08925,0.896,-0.11347,NA,0.922778432,0.82600925,0.697322148,0,0,0.489221966
"MAU_4A_BS",111,8.44959669795019,3.67193780502316,"Ransome_MAU04_MAU04A_110101_140101",0,1920,130.5416854,31.1500061,1,"Ransome_MAU04_MAU04A_110101_140101",-0.2478,-2.93266,-3.14096,-0.10716,-0.30774,0.04766,NA,0,0,0,0,0,0
"MAU_4B_BS",40,11.3385923697131,4.55721461079539,"Ransome_MAU04_MAU04B_110101_140101",0,1920,130.5416854,31.1500061,1,"Ransome_MAU04_MAU04B_110101_140101",-0.2478,-2.93266,-3.14096,-0.10716,-0.30774,0.04766,NA,0,0,0,0,0,0
"MAU_4C_BS",85,13.9667084513469,8.33887071210048,"Ransome_MAU04_MAU04C_110101_140101",0,1920,130.5416854,31.1500061,1,"Ransome_MAU04_MAU04C_110101_140101",-0.2478,-2.93266,-3.14096,-0.10716,-0.30774,0.04766,NA,0,0,0,0,0,0
