"SampleID","Hill_q0","Hill_q1","Hill_q2","eventID","proportionshallow","distance.km.","NearestShelf_Longitude","NearestShelf_Latitude","ShelfMatch","rownames.d.","score","scorecn","scorecy","scorepfc","scoreth","scoretr","grav_NC","sediment","nutrient","pop_count","num_ports","reef_value","cumul_score"
"HAW_22_BS",55,18.7674349102546,13.7710960195878,"Ransome_HAW22_HAW22B_100101_130101",0.019672131,6720,137.5416854,37.45000664,1,"Ransome_HAW22_HAW22B_100101_130101",-0.05362,-1.8031,0.61072,-0.99347,0.92712,-0.3949,NA,0,0,0.441460913,0,0,0.088292183
"HAW_24A_BS",46,2.2832241866972,1.42227875080902,"Ransome_HAW24_HAW24A_100101_130101",0.023026316,6710,137.5416854,37.45000664,1,"Ransome_HAW24_HAW24A_100101_130101",-0.08902,-1.9858,0.63463,-0.99085,0.65491,-0.91251,NA,0.921012947,0.837727784,0.499633673,0,0,0.451674881
"HAW_24B_BS",44,12.830770648863,8.39618740652468,"Ransome_HAW24_HAW24B_100101_130101",0.023026316,6710,137.5416854,37.45000664,1,"Ransome_HAW24_HAW24B_100101_130101",-0.08902,-1.9858,0.63463,-0.99085,0.65491,-0.91251,NA,0.921012947,0.837727784,0.499633673,0,0,0.451674881
"HAW_24C_BS",86,29.8055505216708,17.4250795299948,"Ransome_HAW24_HAW24C_100101_130101",0.023026316,6710,137.5416854,37.45000664,1,"Ransome_HAW24_HAW24C_100101_130101",-0.08902,-1.9858,0.63463,-0.99085,0.65491,-0.91251,NA,0.921012947,0.837727784,0.499633673,0,0,0.451674881
"INDO_06_BS",76,17.0008146736265,9.65578576343977,"Ransome_IND02_INDO06_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND02_INDO06_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"INDO_12_BS",94,21.0207205178429,10.0655837334375,"Ransome_IND01_INDO12_120601_130707",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND01_INDO12_120601_130707",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"INDO_13_BS",100,9.27756525693384,4.86762403851354,"Ransome_IND01_INDO13_120601_130707",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND01_INDO13_120601_130707",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"INDO_15_BS",18,8.41559149817614,6.99455564669384,"Ransome_HR01_INDO15_120601_130708",0.18707483,10,114.5916854,-8.099997258,1,"Ransome_HR01_INDO15_120601_130708",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"INDO_4_BS",55,9.54103177122492,6.59334600565299,"Ransome_IND02_INDO04_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND02_INDO04_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
"INDO_5_BS",55,6.88975780889578,3.14541370644915,"Ransome_IND02_INDO05_110701_120601",0.187713311,10,114.5916854,-8.099997258,1,"Ransome_IND02_INDO05_110701_120601",-0.11338,0.58217,0.58527,0.20176,-1.70363,-2.1502,0.891030323,0.972248786,0.968474195,0.957872372,0,0.994963001,0.797431446
